time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.664850,-0.2180,-0.1235,0.6629,0.709
2.669584,-0.1300,-0.0908,0.6028,0.623
2.673918,-0.0619,-0.0528,0.5345,0.541
2.678947,-0.0252,-0.0114,0.4721,0.473
2.683535,0.0397,-0.0065,0.3701,0.372
2.688290,-0.0240,-0.1013,0.2525,0.273
2.693610,-0.1182,-0.0452,0.1473,0.194
2.698321,-0.1457,0.0473,-0.0122,0.154
2.702996,-0.1666,0.1477,-0.1334,0.260
2.709556,-0.2235,0.1924,-0.2571,0.391
